"","V1","V2","V3","V4","V5"
"1",0.0683573535643518,0.343524211668409,0.316806519078091,0.825489328231197,0.885288266744465
"2",0.340739965066314,0.121767101075966,0.432725312421098,0.987159682868514,0.727189028123394
"3",0.400366874365136,0.153144883632194,0.350084012676962,0.575337563885842,0.51574632456759
"4",0.630814789538272,0.782112467894331,0.00913561733905226,0.00490206616232172,0.413284724554978
"5",0.789538227755111,0.707774497021455,0.589206488570198,0.935870493983384,0.0594044275814667
"6",0.129602199804503,0.277485036663711,0.66362252146937,0.167607527796645,0.554303251672536
"7",0.94267104412429,0.951748435501941,0.202339226508047,0.676274758798536,0.00624343892559409
"8",0.65385996295372,0.610496521287132,0.783475576748606,0.619364813214634,0.939164281275589
"9",0.173433515790384,0.489697420457378,0.616032002912834,0.323591906484216,0.329619124671444
"10",0.830305964115541,0.414614823996089,0.101221870211884,0.700110383622814,0.621767995832488
"11",0.59731986830011,0.50923746668268,0.939099144365173,0.479973620397504,0.81331121227704
"12",0.886593945429195,0.88976028811885,0.81767246305244,0.259343383915257,0.198473442369141
"13",0.247481666051317,0.586687501415145,0.464339960087091,0.117423292051535,0.256935790984426
"14",0.489499739429448,0.0924518776009791,0.950679060420953,0.501667637831997,0.752561558515299
"15",0.38467149034841,0.0176564743742347,0.17393148415722,0.0527629543212242,0.663793204270769
"16",0.0150431611342356,0.363117915333714,0.500526726455428,0.875734015845228,0.213157732679974
"17",0.748061390721705,0.900713343999814,0.735272027098108,0.39207789413631,0.96295778376516
"18",0.975707401579712,0.808341763482895,0.895576693909243,0.210580720833968,0.370622073870618
"19",0.525486465368886,0.206288641423453,0.256889585882891,0.791517937602475,0.144797815731727
"20",0.290661693084985,0.658001378877088,0.065125943988096,0.41308089675149,0.470004850032274
