"","V1","V2","V3","V4","V5"
"1",0.89880983348703,0.13793531563133,0.590202971512917,0.193551416590344,0.376779236423317
"2",0.475343994179275,0.0572275338228792,0.97258764662547,0.248394955787808,0.887649679835886
"3",0.512194148788694,0.937014363170601,0.046134189714212,0.328771518403664,0.00724016214953735
"4",0.918965654075146,0.718270192318596,0.944254139182158,0.424769339920022,0.531364676204976
"5",0.776867059944198,0.397881679376587,0.291208764968906,0.385400990303606,0.134039245697204
"6",0.375876025378238,0.561460708174854,0.410097170399968,0.812440438766498,0.0921604371047579
"7",0.329822566872463,0.603027961577755,0.619699062942527,0.29955920574721,0.255803769349586
"8",0.148990992619656,0.79453812034335,0.348175892455038,0.092105639516376,0.590599989390466
"9",0.819580121443141,0.318960666982457,0.531231280998327,0.0311012592515908,0.600103727797978
"10",0.0660370089346543,0.833428018982522,0.228532925120089,0.776611646800302,0.763556832342874
"11",0.190764598501846,0.422049569315277,0.744219988246914,0.918370631255675,0.343325945688412
"12",0.567074291815516,0.173808187793475,0.117742521874607,0.452728261984885,0.720018273917958
"13",0.261886299797334,0.865138946496882,0.060779412672855,0.105403070570901,0.97721241110703
"14",0.620585243054666,0.268460458994377,0.459405364829581,0.715558668854646,0.174442139442544
"15",0.697521886148024,0.505442412616685,0.823274077509996,0.570386821066495,0.47246549364645
"16",0.0436514388304204,0.661623046884779,0.37984657039633,0.662372872221749,0.244479635066818
"17",0.708390240196604,0.0150032602017745,0.650098283460829,0.983184833673295,0.800035363121424
"18",0.962368527974468,0.244500905263703,0.155674386769533,0.642023444117513,0.926549818250351
"19",0.434702144784387,0.974415305629373,0.893611244461499,0.509194120287429,0.664638727379497
"20",0.229255716199987,0.477147299866192,0.772684345743619,0.874535517417826,0.44716759074945
